id,professor,course,semester,rating,assignment_load,exam_type,review
1,홍길동,컴퓨터네트워크,2025년 2학기,5,적음,족보위주,"인생 꿀강 인정합니다. 시험이 거의 족보에서 그대로 나와서 기출만 돌리면 A+ 무난해요. 과제도 격주로 가볍게 나오고 채점도 너그러우심. 학점 방어하려는 사람한테 강추."
2,홍길동,컴퓨터네트워크,2025년 1학기,4,적음,족보위주,"교수님 설명이 깔끔하고 시험 범위도 명확하게 찍어주심. 과제 부담 적어서 다른 전공이랑 같이 들어도 괜찮음. 다만 출석은 꼭 챙기세요 전자출결 빡세게 함."
3,홍길동,컴퓨터네트워크,2024년 2학기,5,적음,중간기말,"족보 없어도 수업만 잘 들으면 풀리는 시험. 학점 짜지 않고 질문 받아주시는 거 좋았음. 팀플 없어서 혼자 듣기 편함."
4,홍길동,컴퓨터네트워크,2024년 1학기,4,보통,족보위주,"전반적으로 학점 잘 주시는 편. 과제가 가끔 몰릴 때가 있는데 마감 널널해서 괜찮았어요. 시험은 기출 위주라 부담 적음."
5,홍길동,자료구조,2024년 2학기,4,보통,중간기말,"개념 설명을 그림으로 잘 풀어주셔서 이해 잘 됨. 과제는 코드 구현이라 시간은 좀 걸리는데 난이도는 적당. 학점 무난하게 받음."
6,홍길동,자료구조,2023년 2학기,3,보통,중간기말,"무난한 수업. 특별히 꿀강은 아니고 공부한 만큼 나옴. 시험 난이도 보통이고 과제 밀리면 힘들어요."
7,박민수,컴퓨터네트워크,2025년 2학기,2,많음,팀플,"과제 폭탄에 팀플 헬이라 진짜 힘들었음. 채점도 깐깐해서 열심히 했는데 B0 나옴. 학점 방어 목적이면 비추."
8,박민수,컴퓨터네트워크,2025년 1학기,3,많음,팀플,"내용은 알차고 배우는 건 많은데 과제량이 어마어마함. 팀플 비중 커서 팀 잘못 만나면 망함. 학점은 짜게 주시는 편."
9,박민수,컴퓨터네트워크,2024년 2학기,2,많음,중간기말,"시험이 응용 위주라 족보 소용 없고 난이도 높음. 매주 과제에 프로젝트까지 있어서 시간 갈려나감. 깐깐한 채점 주의."
10,박민수,운영체제,2025년 1학기,3,많음,프로젝트,"OS 제대로 배우고 싶으면 좋은 수업. 근데 nachos 프로젝트가 살인적임. 과제 많고 학점도 후하지 않음."
11,박민수,운영체제,2024년 2학기,2,많음,프로젝트,"프로젝트 난이도 극악. 밤새는 날 많았음. 실력은 늘지만 학점 방어용으로는 절대 비추."
12,박민수,운영체제,2024년 1학기,3,많음,중간기말,"시험도 어렵고 과제도 많은 빡센 수업. 그래도 교수님 열정은 인정. 평점 잘 받기는 어려움."
13,김영희,운영체제,2025년 2학기,4,보통,오픈북,"오픈북 시험이라 정리만 잘 해두면 점수 잘 나옴. 과제는 적당하고 채점 후하신 편. 운체 입문으로 추천."
14,김영희,운영체제,2025년 1학기,4,보통,오픈북,"설명 친절하고 질문 잘 받아주심. 시험이 오픈북이라 부담 적음. 학점도 너그럽게 주셔서 만족."
15,김영희,운영체제,2024년 2학기,5,적음,오픈북,"꿀강 맞음. 과제 적고 시험은 오픈북에 평이함. A+ 비율 높다고 들었고 실제로 잘 받았어요."
16,김영희,데이터베이스,2024년 2학기,4,보통,중간기말,"SQL 실습 위주라 실용적임. 과제 적당하고 학점 잘 주심. 시험은 개념 위주라 암기하면 됨."
17,김영희,데이터베이스,2023년 2학기,3,보통,중간기말,"무난한 강의. 시험 난이도 보통. 과제는 평범하고 채점은 후한 편."
18,이정훈,알고리즘,2025년 2학기,3,많음,코딩테스트,"알고리즘 빡세게 배움. 매주 백준 과제에 코테 형식 시험이라 부담 큼. 실력은 느는데 학점 따기 빡셈."
19,이정훈,알고리즘,2025년 1학기,2,많음,코딩테스트,"과제량 미쳤음. 코테 시험 난이도 높아서 평균 낮음. 학점 방어 목적이면 다른 분반 추천."
20,이정훈,알고리즘,2024년 2학기,3,많음,코딩테스트,"내용 깊이는 최고인데 그만큼 힘듦. 과제 많고 채점 깐깐. 전공 실력 키울 거면 강추 학점이 목표면 비추."
21,이정훈,자료구조,2025년 1학기,3,보통,중간기말,"기본기 탄탄하게 잡아주심. 과제는 보통이고 시험은 응용 좀 섞임. 학점은 평범하게 나옴."
22,이정훈,자료구조,2024년 1학기,4,보통,중간기말,"설명 논리적이고 좋음. 과제 적당하고 성실히 하면 학점 잘 나옴. 시험 난이도 무난."
23,최서연,데이터베이스,2025년 2학기,5,적음,오픈북,"완전 꿀강. 오픈북에 과제도 거의 없음. 채점 후하셔서 A 잘 나옴. 학점 방어 최고 선택."
24,최서연,데이터베이스,2025년 1학기,4,적음,오픈북,"부담 적고 학점 잘 주심. 시험 오픈북이라 정리 노트만 있으면 됨. 강추."
25,최서연,데이터베이스,2024년 2학기,4,보통,중간기말,"실습 과제가 가끔 있지만 부담 크진 않음. 채점 너그럽고 시험도 평이함. 만족스러운 수업."
26,최서연,컴퓨터구조,2025년 2학기,4,적음,중간기말,"어려운 과목인데 쉽게 풀어서 설명해주심. 과제 적고 학점 잘 줘서 좋았음. 시험은 수업 내용에서 나옴."
27,최서연,컴퓨터구조,2025년 1학기,5,적음,족보위주,"컴구 꿀강 인정. 시험이 족보랑 비슷해서 기출 돌리면 됨. 과제 거의 없고 채점 후함."
28,최서연,컴퓨터구조,2024년 2학기,3,보통,중간기말,"내용은 어렵지만 교수님이 친절하게 설명. 과제 보통이고 시험은 좀 까다로움. 학점은 무난."
29,최서연,컴퓨터구조,2024년 1학기,4,적음,족보위주,"기출 위주 시험이라 준비하기 수월. 과제 부담 적고 출석 잘 챙기면 학점 잘 나옴."
